timestamp_ms,ax,ay,az,label
3025025,-0.985596,-0.014404,-0.045898,left
3025046,-0.990967,-0.008057,-0.039795,left
3025067,-0.990479,-0.01001,-0.036621,left
3025088,-0.986572,-0.013916,-0.039063,left
3025109,-0.989014,-0.013672,-0.040527,left
3025130,-0.988525,-0.015625,-0.034668,left
3025151,-0.991699,-0.018311,-0.046143,left
3025172,-0.988525,-0.012207,-0.044189,left
3025193,-0.986328,-0.003906,-0.040771,left
3025214,-0.983398,-0.011963,-0.04541,left
3025235,-0.983398,-0.013916,-0.039307,left
3025256,-0.995117,-0.018799,-0.037109,left
3025277,-0.982666,-0.018555,-0.036377,left
3025298,-0.982666,-0.009033,-0.04126,left
3025319,-0.999512,-0.023193,-0.038574,left
3025340,-0.985596,-0.01123,-0.039307,left
3025361,-0.987549,-0.015625,-0.039795,left
3025387,-0.980957,-0.014893,-0.047363,left
3025408,-0.989014,-0.017578,-0.04541,left
3025429,-0.991699,-0.015869,-0.039307,left
3025450,-0.989258,-0.015381,-0.040527,left
3025471,-0.990723,-0.016113,-0.047852,left
3025492,-0.980713,-0.009033,-0.048584,left
3025513,-0.989014,-0.009521,-0.045654,left
3025534,-0.991699,-0.022705,-0.037598,left
3025555,-0.986328,-0.021729,-0.037842,left
3025576,-0.98999,-0.017578,-0.04248,left
3025597,-0.983154,-0.009521,-0.047607,left
3025618,-0.99585,-0.016357,-0.040771,left
3025639,-0.989502,-0.012695,-0.037354,left
3025660,-0.98999,-0.018555,-0.044189,left
3025681,-0.989746,-0.010742,-0.046631,left
3025702,-0.983887,-0.010742,-0.044678,left
3025723,-0.997314,-0.02002,-0.046387,left
3025744,-0.980225,-0.010254,-0.052002,left
3025765,-0.995117,-0.016602,-0.040283,left
3025786,-0.990479,-0.01416,-0.047852,left
3025807,-0.993896,-0.023682,-0.043213,left
3025828,-0.986328,-0.017822,-0.041748,left
3025849,-0.991211,-0.01416,-0.047363,left
3025870,-0.975342,-0.004395,-0.048584,left
3025891,-1.003174,-0.026367,-0.046631,left
3025912,-0.989258,-0.016846,-0.057129,left
3025933,-0.990234,-0.016113,-0.050537,left
3025954,-0.999756,-0.023682,-0.053711,left
3025975,-0.995361,-0.015869,-0.050537,left
3025996,-0.98584,-0.004639,-0.045166,left
3026017,-0.989746,-0.009277,-0.042969,left
3026038,-0.986328,-0.015869,-0.038086,left
3026059,-0.98877,-0.016357,-0.033936,left
3026080,-0.983643,-0.009277,-0.034424,left
3026101,-0.982666,-0.013672,-0.030273,left
